Country,Category,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bahrain,Fossil fuels,1606555,1664491,1897172,2227697,2746911,2565644,3298985,3593716,3345303,3780281,4276310,4560112,4238140,4008825,4178879,4010816,3549883,3355652,3503125,3676246,4312226,3005267,3100965,2789222,2132394,1842686,1960676,2029218,2503638,2413340,2862540,2607950,3146685,3249513,3190838,3346036,3447972,3963822,4851815,4252234,4911544,5057524,5174868,6225942,6106247,6384001,5682329,5665413,6164077,5620322,5742902,5055665,4836455,4913484,4937969
Bahrain,Metal ores,2070157,2048804,2171643,2393199,2485763,2428171,2814585,2762935,2670237,2642377,2791861,2991730,2937601,3016887,3252307,3144140,2688113,2501766,2433976,2445804,2216250,3092923,2236569,1548875,1272810,1090479,1177359,1318640,1467607,1014872,1289043,1186365,1495119,1675596,1966331,2263833,2476413,2882388,3295549,2192226,2870656,3501801,4163142,4788192,4722918,5158714,5562827,8738417,12428216,9902146,10870147,8386759,8263315,8380941,8627366
Bahrain,Non-metallic minerals,1423945,1333116,1613446,1544290,2016491,1927737,3209828,4529860,6075468,3690125,4042553,4353528,5808728,7480697,7264946,6769677,5625330,5168536,5618572,7092100,6050956,6251026,7979287,8936844,8592358,7726188,7023456,7897959,7892417,6821102,7378272,6560410,9149435,6442839,11022929,13866688,14143200,14730055,18788776,22270533,20698056,18149931,25891512,25728171,26708516,25425421,20525548,14846311,16691808,15086328,14934074,14840148,15883456,16637061,17396008
Bangladesh,Biomass,111899761,107401881,104929484,109684650,109689928,116897362,114161195,120137800,126652272,128451974,119728606,120036442,123410777,126075351,127584502,130563088,131023672,131632324,133149043,141222896,142814610,146019446,146928707,146110927,141341191,147011316,150906918,153016024,150172419,170460289,177225734,175102171,180129023,129270801,165947896,189323564,191416071,203364066,216369169,215532709,225849993,232240379,234701517,242767024,247249309,252220598,252010369,268763363,271848982,271937480,280163287,287758038,295240331,302650477,312057581
Bangladesh,Fossil fuels,4670554,4219942,4742948,4835734,4965634,4460205,5040322,4999916,5247408,5750125,5855151,5881398,5440857,5404562,6480932,6829651,7115812,7223798,7844178,8332548,9281341,8069895,9086366,9320836,9938483,11391696,11576916,11857903,13412174,14518461,13909745,15021201,15189835,18518926,16906668,18043357,19659439,21456515,24693514,28546954,28481796,32517848,33764472,37436787,40369515,48803243,48475296,50748970,57598528,58885306,58469867,62637958,63141686,63279382,63733482
Bangladesh,Metal ores,5195144,4414955,4796314,4544330,4498466,4325151,4478363,3803699,4005444,4020765,4187171,4122600,3715135,3813676,4839335,5159314,4880787,4895749,4586482,4773906,6477340,2155577,2889485,3568354,3334750,4274636,4293666,4880754,5250756,4529357,4419683,5083964,4665546,5653960,4832957,5523432,6397869,7709277,8502004,9212677,8782061,13355101,13975233,15702800,18453339,22031621,23173936,23060097,26489013,27705701,28215988,31367178,31492067,31208748,31809361
Bangladesh,Non-metallic minerals,3588280,3712154,3645686,4037071,3963440,4931074,5109337,8277706,6797563,6756556,6769286,7111012,6554597,6365308,7150061,7204516,7521658,7672950,18053550,19061971,19383737,19208222,21674275,28656719,31713249,40990635,46283624,44910606,71794750,61949837,74085137,76669170,83195382,81525145,83690248,106536165,108737970,111500958,106806164,104347311,119603248,127268670,210630717,224966709,74561652,116396188,277942397,283770921,310189724,334132172,327951657,337118822,346874832,353767802,362591485
Belarus,Biomass,,,,,,,,,,,,,,,,,,,,,,,62680325,70442307,57013798,59276661,63255761,56265609,50000167,43028274,50451416,49544152,51584809,48033177,61664826,57175093,59581095,64424024,70608979,67178430,64817287,65194216,67915101,66963669,72537296,65523800,62449977,70265121,63361301,64751227,65512477,60196034,57551649,53541013,53545078
Belarus,Fossil fuels,,,,,,,,,,,,,,,,,,,,,,,18205896,17047310,12589186,7747249,8584435,9074616,9890895,7990901,8270805,9053286,10073201,10483702,11070557,9843742,11746083,13110539,15145170,13833390,15529329,11596054,11282581,13833376,13491658,11870225,9233564,10076237,11176748,11461952,9645102,9671088,8995512,9161328,8725715
Belarus,Metal ores,,,,,,,,,,,,,,,,,,,,,,,1888094,3236558,2893015,1529785,1771708,2289797,2359775,1845365,1318977,1586931,1957883,2137354,2496004,2178180,2998492,3630635,3956720,3269695,3626802,4196063,4208798,4619321,4124497,3028450,2356979,2562743,3131799,3389826,3307580,3490637,3530642,3439821,3390866
Belarus,Non-metallic minerals,,,,,,,,,,,,,,,,,,,,,,,13651556,14180813,13742267,26268314,26923422,26889738,30159955,27407873,24609334,23483515,24211607,25542911,27429946,27703067,38730447,46161645,56467491,50878798,63040135,51072457,58450065,65064189,65901888,49344205,44333203,49018962,43838423,41234675,40309809,33940452,32673147,30703227,31268791
Belgium,Biomass,42721229,44649823,44709387,47504645,48427190,47762992,47369101,49119995,51203865,51609488,51559987,50172508,49917599,47123640,49590654,49988836,51976875,53575102,53981140,54509880,55631379,57938866,59797076,63146332,67942356,66055722,65923938,62678943,61816509,65392497,57223988,55695839,59346601,61505941,64972900,63732440,60970901,61056108,64967322,64070538,63025833,61995209,61178650,61390590,61612491,58664246,59563440,61066010,58243035,59913434,56097153,60032619,59603945,60057990,60460480
Belgium,Fossil fuels,25963723,26681387,29346071,31756923,32558939,34455618,36726449,38660683,40056460,42936428,42188094,36553703,33283708,32367558,32475930,33768219,38369551,41974461,42659523,43039124,47295174,37977092,48801083,45999218,46944954,50945949,53840973,54091186,57227939,65814557,61711204,56359930,58339594,65849854,70002285,72380149,72448828,74613093,84764800,62742201,89979063,83564973,76313310,77574443,75108364,67617438,70904368,73655082,76137391,69151427,62579677,70014773,65045342,68220479,68185879
Belgium,Metal ores,56236877,57832851,62004768,65497781,63955789,64428995,66087682,65573436,66975038,68078204,63633309,56697906,52011989,51334507,50116628,51928260,60366724,63697133,63260879,62748753,69134946,49749520,47426305,41832236,40205573,42621762,42097976,44994258,52847541,89735529,74972632,48589893,49305883,55115842,76862496,80957509,80317252,84205245,102478331,38268798,118097683,86526391,59384771,48594138,53554597,49456351,80997460,100313942,109087176,83939240,54347740,74890280,71529644,71676640,72478573
Belgium,Non-metallic minerals,173661593,186745272,205180894,222517967,228000389,238057385,248644769,257185424,277391908,286945359,268573800,233868625,204709027,196040328,193206111,200891699,247409599,282706372,291700683,296146734,361992423,239012714,315077399,264337901,241107661,241418629,228490130,227892543,222207025,229992357,219983004,208830825,223428093,201501536,242503687,257025774,276645368,268711917,288333724,212545317,241442183,235602116,254997620,218838587,220074709,190891120,250165665,195496967,220657739,247404069,259876569,305934377,309157098,333762930,352194275
Belize,Biomass,340616,361624,388884,451930,507818,499405,423351,528124,580398,540137,585655,573937,597878,586776,597275,577553,566858,607682,598302,691850,777731,809120,789370,752520,752886,801746,805997,999766,930719,1107032,1147037,912725,1215369,903297,1081798,1019544,1149439,1230908,891310,1077201,865707,810748,810232,860122,1058366,1446967,1453399,1444047,1304794,1372521,1769940,1698962,1747129,1775885,1775600
Belize,Fossil fuels,214713,216616,223646,249126,247020,221140,207098,215848,215528,233890,239913,224172,215070,209067,220188,214708,216080,226797,243104,261904,211239,331134,329389,377342,419669,407854,441732,496200,650162,730446,782824,927259,767899,742793,560359,461243,386070,444793,422605,489414,356298,585308,564010,644048,434560,442428,424311,419554,368837,448850,462224,498712,544478,569566,572654
Belize,Metal ores,47416,49226,54333,61425,62774,61456,55748,54917,52672,53849,58055,57004,54343,55381,61514,63156,60014,62704,65494,72146,63286,71989,91065,99219,92227,102637,98714,118745,136632,186320,268072,233200,245499,259396,223366,216533,220039,235852,217967,169185,186553,249844,162014,565911,205873,663161,375746,254728,304194,303912,346588,423702,471905,491576,507175
Belize,Non-metallic minerals,105678,137042,178207,205404,220201,218248,196251,422128,853602,749266,717716,429830,344946,314289,321887,322263,484233,551819,583127,740890,1520353,1286742,587025,485365,412888,356699,337904,486411,379376,343473,670781,520932,475166,554938,496967,536602,682115,1173938,693232,557266,427075,414323,387400,493886,511480,756340,1127058,1239947,1049874,1246247,1349842,1466795,1612877,1658697,1706640
Benin,Biomass,8928145,8985125,9203961,9504640,9085361,9266426,9651817,9736650,10413069,10565225,10398084,10412772,10548170,10478501,11589397,11691776,11608672,10909783,12181397,12331308,13538680,13599037,14238541,13915807,15282507,15282662,16494357,17353665,17123321,18527985,15085217,17056975,21817784,21375108,20552655,20335124,23281741,26762916,33932718,37106948,31811039,29173441,30393223,37704236,47331049,33269316,27380114,29550436,30086664,28850099,33536871,29663167,29901902,29960364,30728765
Benin,Fossil fuels,252666,264554,296781,329252,322585,321478,342933,347610,355170,407342,441941,402229,384303,336080,340200,342063,389550,404684,408288,395166,426730,419518,553242,549512,568484,667246,651241,634619,829655,758459,646827,819515,777178,925188,843420,1345239,851177,1717144,1170236,1242255,1243043,1007557,1016750,1182738,1485119,1237508,1143102,1323053,1348846,1324757,1304739,1430307,1367511,1432520,1456559
